id,case_id,issue,action,affected_ids,resolved
EX-001,units-signs,Thousands and millions are mixed.,"Convert USD thousands to USD millions by dividing by 1,000; retain original units.","[""IN-002"", ""IN-003""]",True
EX-002,units-signs,Cash-flow capex is signed negative.,Display expenditure as positive only in the explicitly named output metric.,"[""IN-001"", ""IN-002""]",True
EX-003,units-signs,Identical output units do not make different businesses or fiscal windows interchangeable.,Keep segment/parent scope and exact dates; do not rank these four measures together.,"[""OUT-001"", ""OUT-002"", ""OUT-003"", ""OUT-004""]",False
EX-004,quarter-ytd,The same August 2 end date appears on a quarter and a half year.,"Use start date and duration. Derive Q2 from compatible H1 minus Q1, then reconcile to directly reported Q2.","[""IN-005"", ""IN-006"", ""IN-007"", ""IN-008"", ""IN-009"", ""IN-010"", ""IN-011"", ""IN-012"", ""IN-013""]",True
EX-005,quarter-ytd,"Ratios, EPS, balances and adjusted figures cannot use this subtraction rule indiscriminately.",Apply this recipe only to the three cumulative GAAP income-statement measures shown. No EPS/margin subtraction.,"[""OUT-005"", ""OUT-006"", ""OUT-007""]",False
EX-006,quarter-ytd,Q2 gross profit and operating income include the disclosed tariff refund.,Keep these as GAAP quarter reconstruction; normalization for one-offs is a separate analytical decision.,"[""OUT-006"", ""OUT-007""]",False
EX-007,cloud-comparability,Microsoft FY2025 ends June 30; AWS and Google Cloud CY2025 end December 31.,Preserve dates and separate Azure/Microsoft from an aligned CY comparison. No calendarization has been performed.,"[""IN-015"", ""IN-016"", ""IN-004"", ""IN-014""]",False
EX-008,cloud-comparability,"Azure revenue is a lower bound, not an exact value.","Preserve >75,000 USD million. Exclude it from exact-value rankings and historical back-solving.","[""IN-015""]",True
EX-009,cloud-comparability,Cloud labels conceal different product and parent-company boundaries.,Retain Workspace within Google Cloud; parent capex is not Azure-only or AI-only; AWS scope also differs.,"[""IN-004"", ""IN-014"", ""IN-016""]",False
EX-010,cloud-comparability,Standalone Azure operating margin is absent from the selected report.,Export a blank numeric value with explicit missing status; do not enter zero or use Intelligent Cloud.,"[""IN-017""]",False
