id,company,metric,value,units,period,start_date,end_date,duration,scope,operator,source_package,fact_id,source_urls,locators,record_type,note
IN-001,Amazon,Cash purchases of property/equipment (signed),-131819.0,USD millions,"CY2025, ended 2025-12-31",2025-01-01,2025-12-31,12 months,Consolidated parent; not AWS-only,=,cloud-computing,FACT-061,"[""https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm""]","[""Consolidated cash flows, cash purchases of property and equipment; extracted HTML table row 200, numeric column 2; CY2025, ended 2025-12-31""]",,
IN-002,Lululemon,Cash purchases of property/equipment (signed),-680802.0,USD thousands,FY2025; ended 2026-02-01; 52 weeks,2025-02-03,2026-02-01,52 weeks,Consolidated parent,=,lululemon-earnings-update,FACT-055,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000020/lulu-20260201.htm""]","[""L1684""]",,
IN-003,Lululemon,Revenue,11102600.0,USD thousands,FY2025; ended 2026-02-01; 52 weeks,2025-02-03,2026-02-01,52 weeks,Consolidated parent,=,lululemon-earnings-update,FACT-051,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000020/lulu-20260201.htm""]","[""L1574""]",,
IN-004,Amazon,AWS revenue,128725.0,USD millions,"CY2025, ended 2025-12-31",2025-01-01,2025-12-31,12 months,AWS segment,=,cloud-computing,FACT-059,"[""https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm""]","[""Segment information, revenue and operating income; extracted HTML table row 603, numeric column 2; CY2025, ended 2025-12-31""]",,
IN-005,Lululemon,Revenue,2471603.0,USD thousands,Q1 FY2026; ended 2026-05-03,2026-02-02,2026-05-03,13 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-074,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000077/lulu-20260503xex991.htm""]","[""L134""]",,
IN-006,Lululemon,Revenue,4887234.0,USD thousands,H1 FY2026; ended 2026-08-02,2026-02-02,2026-08-02,26 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-120,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000126/lulu-20260802xex991.htm""]","[""L139""]",,
IN-007,Lululemon,Revenue,2415631.0,USD thousands,Q2 FY2026; ended 2026-08-02,2026-05-04,2026-08-02,13 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-094,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000126/lulu-20260802xex991.htm""]","[""L139""]",,
IN-008,Lululemon,Gross profit,1338818.0,USD thousands,Q1 FY2026; ended 2026-05-03,2026-02-02,2026-05-03,13 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-075,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000077/lulu-20260503xex991.htm""]","[""L136""]",,
IN-009,Lululemon,Gross profit,2800696.0,USD thousands,H1 FY2026; ended 2026-08-02,2026-02-02,2026-08-02,26 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-121,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000126/lulu-20260802xex991.htm""]","[""L141""]",,
IN-010,Lululemon,Gross profit,1461878.0,USD thousands,Q2 FY2026; ended 2026-08-02,2026-05-04,2026-08-02,13 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-095,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000126/lulu-20260802xex991.htm""]","[""L141""]",,
IN-011,Lululemon,Operating income,276946.0,USD thousands,Q1 FY2026; ended 2026-05-03,2026-02-02,2026-05-03,13 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-076,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000077/lulu-20260503xex991.htm""]","[""L142""]",,
IN-012,Lululemon,Operating income,730599.0,USD thousands,H1 FY2026; ended 2026-08-02,2026-02-02,2026-08-02,26 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-122,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000126/lulu-20260802xex991.htm""]","[""L147""]",,
IN-013,Lululemon,Operating income,453653.0,USD thousands,Q2 FY2026; ended 2026-08-02,2026-05-04,2026-08-02,13 weeks,Consolidated; GAAP,=,lululemon-earnings-update,FACT-096,"[""https://www.sec.gov/Archives/edgar/data/1397187/000139718726000126/lulu-20260802xex991.htm""]","[""L147""]",,
IN-014,Alphabet,Google Cloud revenue,58705.0,USD millions,"CY2025, ended 2025-12-31",2025-01-01,2025-12-31,12 months,"Google Cloud segment: GCP, Workspace and other services",=,cloud-computing,FACT-065,"[""https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm""]","[""Segment information, revenue and operating income; extracted HTML table row 375, numeric column 2; CY2025, ended 2025-12-31""]",,
IN-015,Microsoft,Azure revenue threshold,75000,"USD millions, strictly greater than","FY2025, ended 2025-06-30",2024-07-01,2025-06-30,12 months,Azure disclosure; not Intelligent Cloud,>,cloud-computing,FACT-078,"[""https://www.microsoft.com/investor/reports/ar25/index.html""]","[""CEO letter, financial performance""]",,
IN-016,Microsoft,Cash additions to property/equipment (signed),-64551.0,USD millions,"FY2025, ended 2025-06-30",2024-07-01,2025-06-30,12 months,Consolidated parent; not Azure-only,=,cloud-computing,FACT-071,"[""https://www.microsoft.com/investor/reports/ar25/index.html""]","[""Consolidated statements of cash flows; extracted HTML table row 211, numeric column 0; FY2025, ended 2025-06-30""]",,
IN-017,Microsoft,Azure operating margin (coverage gap),,percent,FY2025; ended 2025-06-30,2024-07-01,2025-06-30,12 months,Standalone Azure; unavailable in the saved report,not disclosed,cloud-computing,FACT-081,"[""https://www.microsoft.com/investor/reports/ar25/index.html""]","[""Business, Intelligent Cloud and Productivity and Business Processes; Metrics""]",coverage annotation,The cited qualitative scope fact is context; it is not a numerical margin disclosure. See original report methodology.
