company,period,start_date,end_date,duration,scope,operator,id,metric,value,units,status,input_ids,transformation,comparison_group
Amazon,"CY2025, ended 2025-12-31",2025-01-01,2025-12-31,12 months,Consolidated parent; not AWS-only,=,OUT-001,Cash capex (positive outflow),131819.0,USD millions,normalized,"[""IN-001""]","-131819.0 / 1 × -1 = 131819.0; present cash outflow as positive expenditure, retain signed input.",separate observation
Lululemon,FY2025; ended 2026-02-01; 52 weeks,2025-02-03,2026-02-01,52 weeks,Consolidated parent,=,OUT-002,Cash capex (positive outflow),680.802,USD millions,normalized,"[""IN-002""]","-680802.0 / 1000 × -1 = 680.802; present cash outflow as positive expenditure, retain signed input.",separate observation
Lululemon,FY2025; ended 2026-02-01; 52 weeks,2025-02-03,2026-02-01,52 weeks,Consolidated parent,=,OUT-003,Revenue,11102.6,USD millions,normalized,"[""IN-003""]",11102600.0 / 1000 × 1 = 11102.6; convert or preserve monetary unit; do not change economic scope.,separate observation
Amazon,"CY2025, ended 2025-12-31",2025-01-01,2025-12-31,12 months,AWS segment,=,OUT-004,AWS revenue,128725.0,USD millions,normalized,"[""IN-004""]",128725.0 / 1 × 1 = 128725.0; convert or preserve monetary unit; do not change economic scope.,separate observation
Lululemon,Q2 FY2026; ended 2026-08-02,2026-05-04,2026-08-02,13 weeks,Consolidated; GAAP,=,OUT-005,Revenue,2415.631,USD millions,derived; reconciled to reported Q2,"[""IN-006"", ""IN-005"", ""IN-007""]","(IN-006 − IN-005) / 1,000 = 2415.631; check against IN-007 / 1,000.",Lululemon Q2 FY2026 GAAP
Lululemon,Q2 FY2026; ended 2026-08-02,2026-05-04,2026-08-02,13 weeks,Consolidated; GAAP,=,OUT-006,Gross profit,1461.878,USD millions,derived; reconciled to reported Q2,"[""IN-009"", ""IN-008"", ""IN-010""]","(IN-009 − IN-008) / 1,000 = 1461.878; check against IN-010 / 1,000.",Lululemon Q2 FY2026 GAAP
Lululemon,Q2 FY2026; ended 2026-08-02,2026-05-04,2026-08-02,13 weeks,Consolidated; GAAP,=,OUT-007,Operating income,453.653,USD millions,derived; reconciled to reported Q2,"[""IN-012"", ""IN-011"", ""IN-013""]","(IN-012 − IN-011) / 1,000 = 453.653; check against IN-013 / 1,000.",Lululemon Q2 FY2026 GAAP
Amazon,"CY2025, ended 2025-12-31",2025-01-01,2025-12-31,12 months,AWS segment,=,OUT-008,AWS revenue,128725.0,USD millions,retained; scoped comparison,"[""IN-004""]",Preserve segment revenue and CY end date.,CY2025 segment revenue; product scope differs
Alphabet,"CY2025, ended 2025-12-31",2025-01-01,2025-12-31,12 months,"Google Cloud segment: GCP, Workspace and other services",=,OUT-009,Google Cloud revenue,58705.0,USD millions,retained; scoped comparison,"[""IN-014""]",Preserve Google Cloud scope including Workspace.,CY2025 segment revenue; product scope differs
Microsoft,"FY2025, ended 2025-06-30",2024-07-01,2025-06-30,12 months,Azure disclosure; not Intelligent Cloud,>,OUT-010,Azure revenue threshold,75000,USD millions,threshold; excluded from exact ranking,"[""IN-015""]",Retain > operator. Do not treat threshold as exact revenue or back-solve historical dollars.,separate FY2025 Azure threshold
Microsoft,"FY2025, ended 2025-06-30",2024-07-01,2025-06-30,12 months,Consolidated parent; not Azure-only,=,OUT-011,Cash capex (positive outflow),64551.0,USD millions,normalized; parent scope retained,"[""IN-016""]",Multiply signed cash addition by −1; retain parent scope and June year-end.,separate parent cash capex
Microsoft,FY2025; ended 2025-06-30,2024-07-01,2025-06-30,12 months,Standalone Azure; unavailable in the saved report,not disclosed,OUT-012,Azure operating margin (coverage gap),,percent,missing; no imputation,"[""IN-017""]",Leave null. Do not substitute Intelligent Cloud margin.,excluded: missing standalone measure
